Product,Content Focus,Online Resource,Type,Content Summary
Haribo V60 Dripper,"Step-by-step brewing instructions, tips for achieving optimal flavor",https://www.youtube.com/watch?v=PUufsQ-nBgQ,Video,"Make your perfect cup of coffee using an Erlenmeyer funnel and an Erlenmeyer flask used in a chemistry lab! HARIO was established in 1921 as a manufacturer and seller of scientific products. The origin of “V60” started as brewing coffee using a familiar Erlenmeyer funnel and filter paper folded into quarters found in the company. Realizing that the conical shape (parabola of Y = X2) is the most natural and effective shape for filtration, the personal cone-shaped “Coffee Madness Era” dripper was released in 1980. The current ""V60 Transparent Dripper"" was created to evolve this shape to easily reproduce the flavor of cloth drip coffee using a paper filter.

The name ""V60"" comes from the V-shape of the conical dripper with a 60° angle.

Cloth drip coffee became popular throughout Europe around 1763. The V60 resembles the shape of the cloth drip, which has a long-established history.

Cone shape
The V60 Dripper has a cone shape. The V60 Dripper allows for a deeper layer of coffee grounds than conventional fan-shaped drippers, with water flowing towards the center. This facilitates longer contact between the coffee grounds and hot water and a more thorough extraction.

Large Single Hole
One large opening allows for extraction similar to a cloth drip, without restriction on the poured water by the dripper. You can change the taste of your coffee by adjusting the rate at which you pour the hot water, allowing you to enjoy your coffee as you like it.

Spiral Ribs
The ribs (bumps) inside the dripper stretch up to the top to create a space between the paper and the dripper, allowing air to escape without hindering the expansion of coffee grounds caused by their “steaming.” Designed to maximize the flavor of coffee.


The V60 dripper has a structure that allows even those who seek a light taste or prefer a softer bitterness to enjoy their coffee.

Pour quickly for a smooth taste, or pour slowly for a richer taste. It is also easy to adjust the taste of your coffee by adjusting the extraction speed.

Here are some basic instructions for using and brewing with V60
Here are some basic instructions for using and brewing with V60
V60 basic recipes
Preparation and ratios

Preparation and ratios
Step. 1


Fold the zippered part of the paper filter and set the filter snugly inside the dripper.

Step. 2


Set the dripper onto the server and pour hot water over the entire paper filter to warm the device and remove any odor from the paper filter. Dispose of any hot water poured into the server.

Step. 3


Put an adequate amount of ground coffee into the dripper to make the desired cups of coffee, shake gently to flatten it, and then place the dripper onto the server.

Step. 4


Pour twice as much hot water as the amount of coffee, starting slowly from the center until the entire ground coffee is soaked, and wait for 30 seconds.

Step. 5


Divide the pouring of hot water into 3 parts. (Amount of hot water per pour = 4 times the amount of ground coffee) Pour hot water in a spiral shape from the center, avoiding pouring directly onto the paper filter. The brewing time should be within 3 minutes, regardless of the number of cups.

Step. 6


Brewing is complete when all the hot water poured into the dripper has fallen into the server.

"
Aeropress,James Hoffman's Ultimate AeroPress Technique,https://www.youtube.com/watch?v=j6VlT_jUVPc,Video,"11g coffee (ground at the finer end of medium, assuming this is light roasted coffee. The darker you go the more you may prefer to increase the dose and coarsen the grind.)
200g water (brought to a boil and used immediately)
Put the filter into the cap. Don't rinse or preheat the brewer (it doesn't make any difference)
Put coffee into the brewer
Place on scales and then add water, aiming to wet all the coffee during pouring
Start a timer, and immediately place the piston piece into the top of the brewer, about 1cm in
Wait 2 minutes
Holding the brewer and the piston, gently swirl the brewer
Wait 30 seconds
Press gently all the way
Drink and enjoy!"
DeLonghi Dedica EC685,"Learn how to make coffee at home with the DeLonghi Dedica espresso machine. We will share how to make espresso, steam milk, and latte art for a cappuccino. We start with a simple routine using pre-ground coffee but then move to more advanced barista techniques to brew tasty coffee using specialty coffee beans.",https://www.youtube.com/watch?v=idwxgYohK90 ,Article,1. Clean the group head daily <br> 2. Backflush the machine regularly <br> 3. Descale the machine every 2-3 months <br> 4. Replace worn-out parts as needed
DeLonghi Dedica EC685,Watch this short video that explains how to descale your Dedica EC680 or EC685 pump espresso coffee machine. ,https://www.youtube.com/watch?v=t-AjNGFF16M ,Video,"Your De'Longhi Dedica EC680 or EC685 pump espresso coffee machine should always deliver a perfect coffee. From espresso to cappuccino, if you take good care of your coffee machine with regular cleaning and maintenance, you can enjoy delicious beverages for years to come. To help you get the most out of your coffee machine, DeLonghi has created a series of How-To videos. "
Moka Pot,James Hoffman's Ultimate Moka Pot Technique,https://www.youtube.com/watch?v=BfDLoIvb0w4,Video,"Constants:
1. Boiling water in the boiler
2. Full basket of coffee
3. Avoid sputtering phase by cooling down the chamber under cold water

Variables:
1. The lighter the roast, the finer the ground.
2. Less filled boiler will brew a bit earlier. Usually, dark roasts -> a bit less water, light roasts -> full boiler
3. Preheat the hob/relatively low heat on the gas hob
4. As soon as the liquid starts to flow, turn off the heat. For electric hobs, move it to the edge of the hob.

Troubleshooting:
If the sputtering phase starts before you think it's time (not enough coffee out etc):
1. Too fine of a grind 
2. Too much heat"
French Press,"This is a guide to getting the best tasting, cleanest, most delicious, sludge-free cup of coffee from a french press.",https://www.youtube.com/watch?v=st571DYYTR8,Video,1. Preheat the French press <br> 2. Grind coffee beans to a coarse grind <br> 3. Add ground coffee to the French press <br> 4. Pour hot water over coffee <br> 5. Stir and let steep for 4 minutes <br> 6. Press down the plunger slowly
Pour-Over Kettle,"Easy to pour, coffee drip kettle with a slim spout
This drip kettle with a slim spout makes it easier to control the amount and speed of hot water being poured, making it useful when brewing a V60.",https://global.hario.com/product/coffee/kettle/VKB.html ,Video,"Precautions for Use • Check all parts of the product for abnormalities before use. Do not use the product if you find any abnormalities such as cracks, damage, dents, bends or looseness. • Do not use for any purpose other than boiling water, as doing so may result in discoloration or corrosion. Do not use the product for cooking. • Do not fill the product to the brim. Fill only to the appropriate level. Overfilling the product may cause water to boil over resulting in scolds. • Do not heat the product empty. Doing so may cause deformation or damage to the product. It may also cause fire or burns. • Do not heat the product without the lid. Doing so may cause the handle to become hot, resulting in burns. It may also damage the resin handle. IH GAS RADIANT HALOGEN SHEATHED ELECTRIC • The handle may become very hot during and just after heating. Use kitchen gloves to prevent burns. • Keep the product well away from children during and after boiling water to ensure children cannot touch the product. • Keeping water in the product for long periods may cause rust or holes to appear. • Do not hold the handle and open the lid directly after pouring hot water or when hot water still remains inside the product. Doing so may result in burns from steam. • Do not use the product if the handle becomes loose. Doing so may result in burns due to the product falling. • If the handle is damaged, do not attempt to modify or repair the handle for continued use. • If the knob on the lid becomes loose, re-tighten the screw. • Do not use the product on a room heater. Doing so may cause the product to tip over, resulting in burns. • Do not subject the product to strong impact such as dropping it from a high place. Doing so may result in damage or distortion. • Hot water may splash from the product if poured immediately after heating. Wait approximately 20 seconds after turning the heat off before pouring. • Use the product at the practical capacity. Full capacity: 1.2L Practical capacity: 0.8L Approx. 0.8L Important • The pouring spout and body openings have small diameters, and there is a risk of water boiling over from these parts. Be sure not to over fill and over heat the product. Using on a Cooking Heater Preparation Before Use • Be sure to wipe any water droplets off the underside of the product before placing it on the heater to ensure efficient heating. • Place the product at the center of the heater. • A humming noise may occur when heating the product on an IH heater. This is caused by vibrations of the heater resonating through the product, and is not a defect. • Do not use the product if it is deformed or rattles due to being dropped, or if holes have appeared. * Use the product correctly in accordance with the cooking heater instruction manual. Using on a Gas Cooker • Do not use the product to boil a small amount of water. Parts that do not contain water may overheat and discolor. • Adjust the size of the flame so that the flame does not spread to the sides of the product. Doing so may cause the handle or lid knob to become hot, resulting in deterioration or discoloration. • Place the product at the center of the cooktop to ensure stability. GAS • Wash the product using a sponge and neutral detergent two or three times before using for the first time. • Next, boil and throw away water once or twice. • Do not use chlorine bleach on the product. • Remove any stickers that are attached to the product before use. Care After Use • Wash with a sponge, etc. after use, wipe off any water and allow the product to dry before storage. • Dirt that contains salt or oil on the product may cause rust. Be sure to keep the product clean. • Storing the product in contact with other types of metal such as steel or aluminum may cause the product to rust. • If rust occurs, remove the rust using a cream cleaner and sponge, etc., and then rinse thoroughly. • White spots may appear on the bottom of the product through continued use. These are caused by magnesium or calcium residue from tap water. They are not harmful to health. White spots may appear on the body, lid or spout of the product. Wash thoroughly after use. Read more here: https://www.hario.com/manual_pdf/VKB-120HSV.pdf "
Guide to Coffee Grinders,James Hoffman's pros and cons of different grinder types ,https://www.youtube.com/watch?v=bgjvLQu5NlE,Video,"There are two main types of coffee grinders:

Burr grinders: These grinders use two burrs to grind coffee beans, providing a more consistent and even grind size. They are generally considered superior for home brewing and professional use.
Blade grinders: These grinders use a rotating blade to chop coffee beans. While they are less expensive, they tend to produce a less consistent grind and can overheat the beans, affecting the flavor.
Factors to Consider When Choosing a Coffee Grinder
Grind size: The grind size should be adjusted based on the brewing method you're using. For example, espresso requires a fine grind, while French press requires a coarse grind.
Grind consistency: A consistent grind size is essential for optimal flavor extraction. Burr grinders are better at producing consistent grinds.
Durability: A good coffee grinder should be durable and built to last. Look for grinders made with high-quality materials.
Ease of use: Consider how easy the grinder is to clean, adjust, and operate.
Noise level: If you're sensitive to noise, look for a grinder that is quiet."
Coffee Beans ,Understanding different roast levels and their impact on flavor,https://www.youtube.com/watch?v=N6BJVM5tvnw ,Video,"Coffee Roasting
Coffee roasting is a crucial process that transforms raw coffee beans into the flavorful product we enjoy. During roasting, the beans undergo a series of chemical reactions that develop their aroma, flavor, and color.

Key Factors in Coffee Roasting:

Temperature: The temperature at which the beans are roasted determines the final flavor profile. Higher temperatures produce darker roasts with a more intense flavor, while lower temperatures result in lighter roasts with a more delicate taste.
Time: The length of time the beans are roasted also affects the flavor. Longer roasting times can lead to a more developed flavor.
Environment: Factors like humidity and airflow can influence the roasting process and the final quality of the coffee.
Common Roast Levels:

Light roast: Light-roasted beans have a light brown color and a mild, acidic flavor with floral or fruity notes.
Medium roast: Medium-roasted beans are a medium brown color and have a balanced flavor with a hint of sweetness.
Dark roast: Dark-roasted beans are dark brown or nearly black and have a strong, bold flavor with a smoky or bittersweet taste."
Coffee Beans,How to buy great coffee,https://www.youtube.com/watch?v=O9YnLFrM7Fs&t=954s,,"Chapter timecodes:
0:00 Intro to the series & overview of structure
1:50 Golden rules for buying coffee
2:29 Freshness: roast dates & best before dates
3:38 Fresh coffee in espresso vs filter
4:17 Ground coffee vs whole bean
5:02 Whole bean freshness
5:21 Traceable Coffee
6:57 Seasonality of harvests
8:03 Where to buy coffee?
8:27 Supermarket/grocery store purchases: pros & cons
9:41 Coffee shop purchases
10:46 Purchasing online directly from roasters
12:01 Skillshare ad & discount, including my favourite classes
12:52 Decoding bags of coffee from the supermarket
13:17 Roast degree or 'strength'
15:20 Guidelines on roast degree correlation with acidity and bitterness 
15:41 Coffee descriptors
18:27 Category 1 of disliked coffee experiences: light-body & texture descriptors
19:31 Category 2: Acidity & fruit words
20:50 Category 3: Fermented fruit flavours & dry or natural process
22:15 Decoding supermarket bag descriptions
25:46 Closing of guide & questions from you"
